property_id,day,credibility_estimate_total,Z_avg
GNAF-GANSW705960978,0,41028.15,0.0
GNAF-GANSW705938521,0,61739.67,0.0
GNAF-GANSW705921130,0,42439.44,0.0
GNAF-GANSW705938505,0,43097.04,0.0
GNAF-GANSW705920530,0,28048.43,0.0
GNAF-GANSW717452533,0,106216.71,0.0
GNAF-GANSW705951026,0,38556.05,0.0
GNAF-GANSW705961322,0,45891.94,0.0
GNAF-GANSW705960951,0,24745.54,0.0
GNAF-GANSW705961262,0,29381.07,0.0
GNAF-GANSW705964871,0,47482.68,0.0
GNAF-GANSW705964861,0,37677.77,0.0
GNAF-GANSW705920833,0,52861.03,0.0
GNAF-GANSW705958151,0,37851.81,0.0
GNAF-GANSW705927189,0,25812.04,0.0
GNAF-GANSW705958166,0,39570.33,0.0
GNAF-GANSW705931099,0,50542.66,0.0
GNAF-GANSW705968453,0,34839.35,0.0
GNAF-GANSW705944649,0,31607.82,0.0
GNAF-GANSW705960935,0,37912.32,0.0
GNAF-GANSW716498272,0,37662.17,0.0
GNAF-GANSW717011994,0,35178.26,0.0
GNAF-GANSW712275257,0,16621.68,0.0
GNAF-GANSW712271760,0,18837.09,0.0
GNAF-GANSW705533434,0,46627.62,0.0
GNAF-GANSW712286014,0,27830.07,0.0
GNAF-GANSW705531196,0,46321.64,0.0
GNAF-GANSW705547076,0,48613.11,0.0
GNAF-GANSW705530161,0,43223.34,0.0
GNAF-GANSW705540118,0,37094.45,0.0
GNAF-GANSW705522127,0,26721.71,0.0
GNAF-GANSW705534496,0,34362.43,0.0
GNAF-GANSW705522135,0,62884.2,0.0
GNAF-GANSW705540117,0,47385.29,0.0
GNAF-GANSW705542762,0,57262.25,0.0
GNAF-GANSW705527531,0,34201.48,0.0
GNAF-GANSW712303710,0,31614.29,0.0
GNAF-GANSW708001572,0,46642.36,0.0
GNAF-GANSW707990939,0,31782.0,0.0
GNAF-GANSW704642551,0,47705.14,0.0
GNAF-GANSW705537101,0,45413.07,0.0
GNAF-GANSW719466117,0,40672.34,0.0
GNAF-GANSW704653341,0,42405.46,0.0
GNAF-GANSW704622875,0,12823.07,0.0
GNAF-GANSW704648079,0,48144.12,0.0
GNAF-GANSW704656058,0,35420.99,0.0
GNAF-GANSW704653875,0,55347.33,0.0
GNAF-GANSW704653816,0,38931.47,0.0
GNAF-GANSW704658622,0,43894.69,0.0
GNAF-GANSW720686210,0,24284.98,0.0
GNAF-GANSW704639940,0,39789.67,0.0
GNAF-GANSW704642636,0,25214.11,0.0
GNAF-GANSW704642133,0,41699.5,0.0
GNAF-GANSW704661289,0,39709.36,0.0
GNAF-GANSW704623586,0,75716.76,0.0
GNAF-GANSW704653398,0,83794.97,0.0
GNAF-GANSW716779174,0,140704.66,0.0
GNAF-GANSW709567412,0,25192.4,0.0
GNAF-GANSW721043165,0,28464.53,0.0
GNAF-GANSW712292079,0,28910.53,0.0
GNAF-GANSW716835453,0,40374.51,0.0
GNAF-GANSW705231359,0,25093.43,0.0
GNAF-GANSW716487429,0,29971.31,0.0
GNAF-GANSW721136432,0,34769.16,0.0
GNAF-GANSW715986794,0,22797.95,0.0
GNAF-GANSW709851562,0,38515.01,0.0
GNAF-GANSW716958679,0,42487.96,0.0
GNAF-GANSW704656013,0,43010.5,0.0
GNAF-GANSW718026373,0,25976.73,0.0
GNAF-GANSW705938492,0,34463.06,0.0
GNAF-GANSW705934325,0,45451.49,0.0
GNAF-GANSW705944659,0,34822.48,0.0
GNAF-GANSW705940725,0,39722.11,0.0
GNAF-GANSW705952038,0,35548.45,0.0
GNAF-GANSW705226180,0,20706.99,0.0
GNAF-GANSW717280849,0,33767.95,0.0
GNAF-GANSW705542756,0,55089.11,0.0
GNAF-GANSW705530157,0,36691.46,0.0
GNAF-GANSW717765822,0,35646.42,0.0
GNAF-GANSW705522139,0,40444.25,0.0
GNAF-GANSW705964866,0,35698.01,0.0
GNAF-GANSW705531221,0,40080.92,0.0
GNAF-GANSW705539703,0,30471.32,0.0
GNAF-GANSW716490407,0,42162.28,0.0
GNAF-GANSW716489396,0,37943.42,0.0
GNAF-GANSW705961275,0,43566.51,0.0
GNAF-GANSW705916983,0,50745.75,0.0
GNAF-GANSW705938484,0,35331.69,0.0
GNAF-GANSW705916936,0,52981.9,0.0
GNAF-GANSW705916890,0,38900.85,0.0
GNAF-GANSW705944647,0,40159.17,0.0
GNAF-GANSW705951006,0,53125.66,0.0
GNAF-GANSW705968437,0,36909.76,0.0
GNAF-GANSW705916902,0,29112.43,0.0
GNAF-GANSW705938513,0,46182.25,0.0
GNAF-GANSW705954954,0,29813.47,0.0
GNAF-GANSW705957723,0,28299.91,0.0
GNAF-GANSW705954945,0,38615.33,0.0
GNAF-GANSW705961257,0,43833.39,0.0
GNAF-GANSW705958171,0,38707.78,0.0
GNAF-GANSW704642555,0,43456.09,0.0
GNAF-GANSW705964581,0,53101.95,0.0
GNAF-GANSW705968459,0,29132.06,0.0
GNAF-GANSW705968518,0,35026.99,0.0
GNAF-GANSW705934329,0,22585.96,0.0
GNAF-GANSW705968504,0,61464.43,0.0
GNAF-GANSW705934417,0,38036.05,0.0
GNAF-GANSW705961321,0,27589.0,0.0
GNAF-GANSW704655764,0,58641.76,0.0
GNAF-GANSW717893674,0,41165.24,0.0
GNAF-GANSW705535309,0,36188.81,0.0
GNAF-GANSW718381204,0,35005.4,0.0
GNAF-GANSW704660162,0,49329.6,0.0
GNAF-GANSW715986798,0,22909.27,0.0
GNAF-GANSW717102747,0,19367.06,0.0
GNAF-GANSW717102748,0,18396.4,0.0
GNAF-GANSW717102749,0,16796.92,0.0
GNAF-GANSW704787329,0,71889.69,0.0
GNAF-GANSW717102746,0,18456.01,0.0
GNAF-GANSW705213327,0,28925.76,0.0
GNAF-GANSW712279938,0,23601.61,0.0
GNAF-GANSW708014457,0,50414.68,0.0
GNAF-GANSW721055920,0,39482.85,0.0
GNAF-GANSW717102752,0,34835.92,0.0
GNAF-GANSW712299365,0,19771.31,0.0
GNAF-GANSW712303344,0,35762.7,0.0
GNAF-GANSW712289755,0,52831.39,0.0
GNAF-GANSW705214494,0,26141.01,0.0
GNAF-GANSW708156204,0,129823.67,0.0
GNAF-GANSW712259546,0,28300.45,0.0
GNAF-GANSW705224561,0,66057.45,0.0
GNAF-GANSW705219291,0,41437.66,0.0
GNAF-GANSW712297003,0,19994.39,0.0
GNAF-GANSW705215945,0,41387.74,0.0
GNAF-GANSW712271737,0,18378.27,0.0
GNAF-GANSW705236278,0,25677.25,0.0
GNAF-GANSW705237880,0,63423.02,0.0
GNAF-GANSW705244700,0,33036.43,0.0
GNAF-GANSW712262140,0,37923.17,0.0
GNAF-GANSW718050261,0,26168.45,0.0
GNAF-GANSW718050263,0,80564.97,0.0
GNAF-GANSW712292310,0,24249.02,0.0
GNAF-GANSW712288846,0,37539.12,0.0
GNAF-GANSW712288847,0,33478.44,0.0
GNAF-GANSW712288849,0,37096.82,0.0
GNAF-GANSW712288850,0,27498.36,0.0
GNAF-GANSW705215955,0,34571.25,0.0
GNAF-GANSW721043152,0,48011.27,0.0
GNAF-GANSW712269211,0,139825.54,0.0
GNAF-GANSW718857094,0,37040.99,0.0
GNAF-GANSW705244718,0,27925.84,0.0
GNAF-GANSW705229678,0,183744.88,0.0
GNAF-GANSW705236946,0,17961.29,0.0
GNAF-GANSW705247347,0,58448.09,0.0
GNAF-GANSW705213332,0,20667.86,0.0
GNAF-GANSW705215948,0,40485.68,0.0
GNAF-GANSW705228817,0,94758.85,0.0
GNAF-GANSW705213374,0,28491.68,0.0
GNAF-GANSW705236938,0,33907.63,0.0
GNAF-GANSW705221564,0,38120.76,0.0
GNAF-GANSW705221978,0,34254.1,0.0
GNAF-GANSW717012003,0,20766.75,0.0
GNAF-GANSW717019772,0,28902.3,0.0
GNAF-GANSW704649359,0,36669.41,0.0
GNAF-GANSW705916921,0,28149.13,0.0
GNAF-GANSW705557644,0,36302.39,0.0
GNAF-GANSW710149702,0,62442.2,0.0
GNAF-GANSW710163452,0,28941.65,0.0
GNAF-GANSW719492464,0,21286.77,0.0
GNAF-GANSW719391995,0,59446.8,0.0
GNAF-GANSW708387399,0,39169.29,0.0
GNAF-GANSW716729608,0,40676.45,0.0
GNAF-GANSW716744349,0,133241.56,0.0
GNAF-GANSW716744352,0,187599.27,0.0
GNAF-GANSW710173925,0,31761.05,0.0
GNAF-GANSW719491376,0,22971.37,0.0
GNAF-GANSW719190723,0,36750.18,0.0
GNAF-GANSW717019489,0,55062.29,0.0
GNAF-GANSW705221938,0,23153.49,0.0
GNAF-GANSW717280431,0,33624.77,0.0
GNAF-GANSW718050374,0,36180.54,0.0
GNAF-GANSW704661357,0,38212.29,0.0
GNAF-GANSW705940691,0,22177.19,0.0
GNAF-GANSW717029596,0,40331.39,0.0
GNAF-GANSW718055673,0,85713.74,0.0
GNAF-GANSW721353148,0,52164.35,0.0
GNAF-GANSW704793594,0,57333.41,0.0
GNAF-GANSW719193358,0,30715.21,0.0
GNAF-GANSW704770460,0,70461.77,0.0
GNAF-GANSW704656452,0,42655.36,0.0
GNAF-GANSW719491360,0,58530.02,0.0
GNAF-GANSW717903549,0,31521.31,0.0
GNAF-GANSW705957708,0,45159.33,0.0
GNAF-GANSW705921129,0,44624.4,0.0
GNAF-GANSW705960931,0,42075.89,0.0
GNAF-GANSW705927217,0,46413.25,0.0
GNAF-GANSW705928282,0,36759.4,0.0
GNAF-GANSW705938534,0,27956.08,0.0
GNAF-GANSW705934330,0,35888.41,0.0
GNAF-GANSW705927198,0,52319.36,0.0
GNAF-GANSW705934332,0,43440.86,0.0
GNAF-GANSW705927180,0,31846.94,0.0
GNAF-GANSW705960928,0,50376.14,0.0
GNAF-GANSW705961282,0,41771.24,0.0
GNAF-GANSW719390201,0,32522.47,0.0
GNAF-GANSW716628994,0,52925.24,0.0
GNAF-GANSW705960925,0,21091.41,0.0
GNAF-GANSW705940778,0,39414.38,0.0
GNAF-GANSW705928280,0,27747.65,0.0
GNAF-GANSW705938506,0,34345.78,0.0
GNAF-GANSW705927215,0,28571.45,0.0
GNAF-GANSW705941765,0,43883.37,0.0
GNAF-GANSW705934378,0,34661.72,0.0
GNAF-GANSW705916905,0,29128.3,0.0
GNAF-GANSW713171726,0,36282.9,0.0
GNAF-GANSW712268891,0,34321.58,0.0
GNAF-GANSW717013291,0,14982.19,0.0
GNAF-GANSW712268907,0,94899.99,0.0
GNAF-GANSW708155212,0,27042.05,0.0
GNAF-GANSW717019898,0,44400.37,0.0
GNAF-GANSW717019899,0,46199.54,0.0
GNAF-GANSW717019900,0,43986.26,0.0
GNAF-GANSW717019901,0,31736.66,0.0
GNAF-GANSW717019909,0,31970.76,0.0
GNAF-GANSW712279039,0,34329.64,0.0
GNAF-GANSW712286007,0,23055.67,0.0
GNAF-GANSW705219296,0,33444.62,0.0
GNAF-GANSW719189736,0,36610.14,0.0
GNAF-GANSW704801771,0,46657.28,0.0
GNAF-GANSW704799074,0,66819.6,0.0
GNAF-GANSW704783626,0,78677.5,0.0
GNAF-GANSW705227248,0,19752.73,0.0
GNAF-GANSW717014420,0,24111.04,0.0
GNAF-GANSW718054717,0,19522.64,0.0
GNAF-GANSW718054718,0,31463.79,0.0
GNAF-GANSW717860918,0,46154.54,0.0
GNAF-GANSW708004234,0,47868.17,0.0
GNAF-GANSW708009882,0,38178.15,0.0
GNAF-GANSW704770444,0,76482.78,0.0
GNAF-GANSW719715490,0,34097.18,0.0
GNAF-GANSW719390389,0,31213.63,0.0
GNAF-GANSW705236495,0,33292.22,0.0
GNAF-GANSW705228814,0,63952.88,0.0
GNAF-GANSW705233582,0,32036.71,0.0
GNAF-GANSW719392685,0,43852.51,0.0
GNAF-GANSW718118149,0,32268.34,0.0
GNAF-GANSW717620116,0,34237.61,0.0
GNAF-GANSW715986786,0,18362.75,0.0
GNAF-GANSW708379418,0,36825.83,0.0
GNAF-GANSW704793285,0,64588.21,0.0
GNAF-GANSW704787965,0,67234.96,0.0
GNAF-GANSW718051081,0,28705.27,0.0
GNAF-GANSW705961294,0,37457.34,0.0
GNAF-GANSW704801712,0,93194.74,0.0
GNAF-GANSW708155226,0,41039.53,0.0
GNAF-GANSW704784061,0,58637.12,0.0
GNAF-GANSW716830968,0,39495.09,0.0
GNAF-GANSW719191465,0,30840.44,0.0
GNAF-GANSW716489401,0,55562.4,0.0
GNAF-GANSW720318182,0,36705.93,0.0
GNAF-GANSW716729556,0,37488.3,0.0
GNAF-GANSW716389098,0,34199.73,0.0
GNAF-GANSW716389100,0,55585.52,0.0
GNAF-GANSW718696647,0,36432.52,0.0
GNAF-GANSW719488814,0,19300.73,0.0
GNAF-GANSW718574590,0,40885.59,0.0
GNAF-GANSW719191553,0,77634.68,0.0
GNAF-GANSW717112983,0,37756.81,0.0
GNAF-GANSW705225292,0,19339.57,0.0
GNAF-GANSW717214068,0,37001.58,0.0
GNAF-GANSW719387058,0,20449.32,0.0
GNAF-GANSW718415214,0,28705.69,0.0
GNAF-GANSW705522131,0,36355.31,0.0
GNAF-GANSW716404317,0,44630.45,0.0
GNAF-GANSW712286033,0,25442.95,0.0
GNAF-GANSW712286438,0,37125.77,0.0
GNAF-GANSW712268893,0,29884.9,0.0
GNAF-GANSW712275735,0,39704.91,0.0
GNAF-GANSW712279937,0,20532.76,0.0
GNAF-GANSW709541076,0,36888.19,0.0
GNAF-GANSW708161114,0,60180.1,0.0
GNAF-GANSW712279975,0,25585.9,0.0
GNAF-GANSW712292843,0,23519.38,0.0
GNAF-GANSW712293259,0,29041.63,0.0
GNAF-GANSW712269309,0,33656.79,0.0
GNAF-GANSW716835456,0,54345.32,0.0
GNAF-GANSW705940717,0,77335.38,0.0
GNAF-GANSW716744353,0,54353.28,0.0
GNAF-GANSW716835446,0,132432.44,0.0
GNAF-GANSW716835447,0,83720.99,0.0
GNAF-GANSW716835451,0,168136.55,0.0
GNAF-GANSW717029586,0,39118.73,0.0
GNAF-GANSW704802422,0,23841.8,0.0
GNAF-GANSW704790584,0,37510.31,0.0
GNAF-GANSW704801725,0,51749.88,0.0
GNAF-GANSW717013308,0,43689.44,0.0
GNAF-GANSW717908234,0,37723.14,0.0
GNAF-GANSW716495363,0,54352.85,0.0
GNAF-GANSW718054586,0,38644.25,0.0
GNAF-GANSW710172345,0,36228.75,0.0
GNAF-GANSW712272037,0,50056.29,0.0
GNAF-GANSW705940720,0,39851.55,0.0
GNAF-GANSW704787346,0,54814.72,0.0
GNAF-GANSW704653345,0,38026.45,0.0
GNAF-GANSW716500351,0,22479.54,0.0
GNAF-GANSW716500343,0,48847.83,0.0
GNAF-GANSW717014425,0,42778.34,0.0
GNAF-GANSW717014426,0,35744.41,0.0
GNAF-GANSW717014427,0,29513.2,0.0
GNAF-GANSW717014428,0,49036.38,0.0
GNAF-GANSW708390112,0,29148.83,0.0
GNAF-GANSW719388938,0,46122.32,0.0
GNAF-GANSW721524086,0,31321.94,0.0
GNAF-GANSW720342603,0,43383.95,0.0
GNAF-GANSW716790807,0,69312.87,0.0
GNAF-GANSW719474485,0,40170.89,0.0
GNAF-GANSW719738640,0,35375.78,0.0
GNAF-GANSW718050687,0,18974.63,0.0
GNAF-GANSW719388635,0,18803.36,0.0
GNAF-GANSW705226229,0,102169.97,0.0
GNAF-GANSW718375577,0,40882.94,0.0
GNAF-GANSW712286062,0,1014562.99,0.0
GNAF-GANSW704797632,0,56220.03,0.0
GNAF-GANSW704803510,0,33241.62,0.0
GNAF-GANSW704800198,0,76655.69,0.0
GNAF-GANSW705961291,0,47951.65,0.0
