day,surge_intensity,cumulative_material_consumed,stock_remaining,is_stocked_out
145,0.0205,2059,0,True
146,0.0193,2088,0,True
147,0.0181,2113,0,True
148,0.017,2137,0,True
149,0.016,2160,0,True
150,0.015,2185,0,True
151,0.0141,2212,0,True
152,0.0132,2243,0,True
153,0.0123,2267,0,True
154,0.0115,2293,0,True
155,0.0108,2316,0,True
156,0.0101,2332,0,True
157,0.0094,2351,0,True
158,0.0088,2384,0,True
159,0.0082,2403,0,True
160,0.0077,2428,0,True
161,0.0072,2466,0,True
162,0.0067,2492,0,True
163,0.0062,2512,0,True
164,0.0058,2540,0,True
165,0.0054,2560,0,True
166,0.005,2588,0,True
167,0.0047,2617,0,True
168,0.0043,2640,0,True
169,0.004,2661,0,True
170,0.0037,2681,0,True
171,0.0035,2704,0,True
172,0.0032,2734,0,True
173,0.003,2757,0,True
174,0.0028,2779,0,True
175,0.0025,2803,0,True
176,0.0024,2825,0,True
177,0.0022,2848,0,True
178,0.002,2884,0,True
179,0.0019,2907,0,True
180,0.0017,2933,0,True
181,0.0016,2956,0,True
182,0.0015,2979,0,True
183,0.0013,3004,0,True
184,0.0012,3025,0,True
185,0.0011,3048,0,True
186,0.001,3075,0,True
187,0.001,3105,0,True
188,0.0009,3128,0,True
189,0.0008,3152,0,True
190,0.0007,3184,0,True
191,0.0007,3210,0,True
192,0.0006,3227,0,True
193,0.0006,3242,0,True
194,0.0005,3272,0,True
195,0.0005,3292,0,True
196,0.0004,3323,0,True
197,0.0004,3345,0,True
198,0.0004,3365,0,True
199,0.0003,3387,0,True
200,0.0003,3418,0,True
201,0.0003,3444,0,True
202,0.0003,3465,0,True
203,0.0002,3484,0,True
204,0.0002,3510,0,True
205,0.0002,3538,0,True
206,0.0002,3556,0,True
207,0.0002,3580,0,True
208,0.0001,3606,0,True
209,0.0001,3629,0,True
210,0.0001,3651,0,True
211,0.0001,3670,0,True
212,0.0001,3691,0,True
213,0.0001,3713,0,True
214,0.0001,3744,0,True
215,0.0001,3765,0,True
216,0.0001,3788,0,True
217,0.0001,3811,0,True
218,0.0001,3828,0,True
219,0.0,3852,0,True
220,0.0,3877,0,True
221,0.0,3905,0,True
222,0.0,3920,0,True
223,0.0,3949,0,True
224,0.0,3969,0,True
225,0.0,3987,0,True
226,0.0,4007,0,True
227,0.0,4029,0,True
228,0.0,4051,0,True
229,0.0,4079,0,True
230,0.0,4103,0,True
231,0.0,4125,0,True
232,0.0,4138,0,True
233,0.0,4162,0,True
234,0.0,4180,0,True
235,0.0,4203,0,True
236,0.0,4227,0,True
237,0.0,4251,0,True
238,0.0,4270,0,True
239,0.0,4290,0,True
240,0.0,4315,0,True
241,0.0,4329,0,True
242,0.0,4348,0,True
243,0.0,4367,0,True
244,0.0,4388,0,True
245,0.0,4418,0,True
246,0.0,4433,0,True
247,0.0,4461,0,True
248,0.0,4472,0,True
249,0.0,4488,0,True
250,0.0,4512,0,True
251,0.0,4527,0,True
252,0.0,4547,0,True
253,0.0,4567,0,True
254,0.0,4589,0,True
255,0.0,4609,0,True
256,0.0,4639,0,True
257,0.0,4652,0,True
258,0.0,4666,0,True
259,0.0,4685,0,True
260,0.0,4703,0,True
261,0.0,4722,0,True
262,0.0,4741,0,True
263,0.0,4757,0,True
264,0.0,4771,0,True
265,0.0,4788,0,True
266,0.0,4808,0,True
267,0.0,4828,0,True
268,0.0,4849,0,True
269,0.0,4869,0,True
270,0.0,4885,0,True
271,0.0,4908,0,True
272,0.0,4927,0,True
273,0.0,4941,0,True
274,0.0,4958,0,True
275,0.0,4976,0,True
276,0.0,4988,0,True
277,0.0,5003,0,True
278,0.0,5018,0,True
279,0.0,5033,0,True
280,0.0,5056,0,True
281,0.0,5071,0,True
282,0.0,5089,0,True
283,0.0,5108,0,True
284,0.0,5122,0,True
285,0.0,5140,0,True
286,0.0,5164,0,True
287,0.0,5180,0,True
288,0.0,5188,0,True
289,0.0,5199,0,True
290,0.0,5215,0,True
291,0.0,5223,0,True
292,0.0,5236,0,True
293,0.0,5253,0,True
294,0.0,5275,0,True
295,0.0,5288,0,True
296,0.0,5303,0,True
297,0.0,5317,0,True
298,0.0,5328,0,True
299,0.0,5341,0,True
300,0.0,5354,0,True
301,0.0,5379,0,True
302,0.0,5394,0,True
303,0.0,5405,0,True
304,0.0,5417,0,True
305,0.0,5429,0,True
306,0.0,5438,0,True
307,0.0,5458,0,True
308,0.0,5474,0,True
309,0.0,5487,0,True
310,0.0,5500,0,True
311,0.0,5511,0,True
312,0.0,5521,0,True
313,0.0,5532,0,True
314,0.0,5547,0,True
315,0.0,5562,0,True
316,0.0,5572,0,True
317,0.0,5585,0,True
318,0.0,5596,0,True
319,0.0,5609,0,True
320,0.0,5622,0,True
321,0.0,5633,0,True
322,0.0,5646,0,True
323,0.0,5657,0,True
324,0.0,5670,0,True
325,0.0,5687,0,True
326,0.0,5696,0,True
327,0.0,5709,0,True
328,0.0,5716,0,True
329,0.0,5726,0,True
330,0.0,5736,0,True
331,0.0,5745,0,True
332,0.0,5758,0,True
333,0.0,5771,0,True
334,0.0,5783,0,True
335,0.0,5794,0,True
336,0.0,5808,0,True
337,0.0,5818,0,True
338,0.0,5831,0,True
339,0.0,5838,0,True
340,0.0,5845,0,True
341,0.0,5856,0,True
342,0.0,5865,0,True
343,0.0,5873,0,True
344,0.0,5886,0,True
345,0.0,5895,0,True
346,0.0,5907,0,True
347,0.0,5910,0,True
348,0.0,5915,0,True
349,0.0,5923,0,True
350,0.0,5933,0,True
351,0.0,5949,0,True
352,0.0,5958,0,True
353,0.0,5968,0,True
354,0.0,5974,0,True
355,0.0,5986,0,True
356,0.0,5995,0,True
357,0.0,6000,0,True
358,0.0,6011,0,True
359,0.0,6020,0,True
360,0.0,6026,0,True
361,0.0,6032,0,True
362,0.0,6041,0,True
363,0.0,6046,0,True
364,0.0,6056,0,True
365,0.0,6064,0,True
366,0.0,6072,0,True
367,0.0,6081,0,True
368,0.0,6086,0,True
369,0.0,6095,0,True
370,0.0,6106,0,True
371,0.0,6109,0,True
372,0.0,6115,0,True
373,0.0,6125,0,True
374,0.0,6130,0,True
375,0.0,6140,0,True
376,0.0,6148,0,True
377,0.0,6155,0,True
378,0.0,6160,0,True
379,0.0,6164,0,True
380,0.0,6169,0,True
381,0.0,6180,0,True
382,0.0,6184,0,True
383,0.0,6194,0,True
384,0.0,6202,0,True
385,0.0,6207,0,True
386,0.0,6213,0,True
387,0.0,6218,0,True
388,0.0,6220,0,True
389,0.0,6228,0,True
390,0.0,6235,0,True
391,0.0,6239,0,True
392,0.0,6245,0,True
393,0.0,6253,0,True
394,0.0,6256,0,True
395,0.0,6260,0,True
396,0.0,6267,0,True
397,0.0,6274,0,True
398,0.0,6278,0,True
399,0.0,6283,0,True
400,0.0,6289,0,True
401,0.0,6293,0,True
402,0.0,6294,0,True
403,0.0,6300,0,True
404,0.0,6304,0,True
405,0.0,6308,0,True
406,0.0,6316,0,True
407,0.0,6322,0,True
408,0.0,6331,0,True
409,0.0,6335,0,True
410,0.0,6340,0,True
411,0.0,6344,0,True
412,0.0,6346,0,True
413,0.0,6350,0,True
414,0.0,6353,0,True
415,0.0,6359,0,True
416,0.0,6362,0,True
417,0.0,6364,0,True
418,0.0,6367,0,True
419,0.0,6372,0,True
420,0.0,6377,0,True
421,0.0,6382,0,True
422,0.0,6384,0,True
423,0.0,6387,0,True
424,0.0,6395,0,True
425,0.0,6399,0,True
426,0.0,6404,0,True
427,0.0,6408,0,True
428,0.0,6411,0,True
429,0.0,6416,0,True
430,0.0,6421,0,True
431,0.0,6425,0,True
432,0.0,6427,0,True
433,0.0,6430,0,True
434,0.0,6432,0,True
435,0.0,6434,0,True
436,0.0,6437,0,True
437,0.0,6440,0,True
438,0.0,6442,0,True
439,0.0,6449,0,True
440,0.0,6452,0,True
441,0.0,6453,0,True
442,0.0,6455,0,True
443,0.0,6457,0,True
444,0.0,6464,0,True
445,0.0,6467,0,True
446,0.0,6470,0,True
447,0.0,6472,0,True
448,0.0,6474,0,True
449,0.0,6476,0,True
450,0.0,6481,0,True
451,0.0,6482,0,True
452,0.0,6483,0,True
453,0.0,6487,0,True
454,0.0,6487,0,True
455,0.0,6490,0,True
456,0.0,6494,0,True
457,0.0,6497,0,True
458,0.0,6499,0,True
459,0.0,6502,0,True
460,0.0,6505,0,True
461,0.0,6506,0,True
462,0.0,6507,0,True
463,0.0,6513,0,True
464,0.0,6514,0,True
465,0.0,6514,0,True
466,0.0,6516,0,True
467,0.0,6517,0,True
468,0.0,6518,0,True
469,0.0,6519,0,True
470,0.0,6523,0,True
471,0.0,6525,0,True
472,0.0,6532,0,True
473,0.0,6532,0,True
474,0.0,6534,0,True
475,0.0,6535,0,True
476,0.0,6538,0,True
477,0.0,6539,0,True
478,0.0,6541,0,True
479,0.0,6542,0,True
480,0.0,6542,0,True
481,0.0,6543,0,True
482,0.0,6544,0,True
483,0.0,6544,0,True
484,0.0,6546,0,True
485,0.0,6549,0,True
486,0.0,6549,0,True
487,0.0,6550,0,True
488,0.0,6555,0,True
489,0.0,6557,0,True
490,0.0,6559,0,True
491,0.0,6559,0,True
492,0.0,6562,0,True
493,0.0,6562,0,True
494,0.0,6563,0,True
495,0.0,6566,0,True
496,0.0,6567,0,True
497,0.0,6567,0,True
498,0.0,6568,0,True
499,0.0,6570,0,True
500,0.0,6570,0,True
501,0.0,6572,0,True
502,0.0,6573,0,True
503,0.0,6574,0,True
504,0.0,6576,0,True
505,0.0,6577,0,True
506,0.0,6579,0,True
507,0.0,6579,0,True
508,0.0,6580,0,True
509,0.0,6580,0,True
510,0.0,6580,0,True
511,0.0,6582,0,True
512,0.0,6582,0,True
513,0.0,6584,0,True
514,0.0,6585,0,True
515,0.0,6586,0,True
516,0.0,6586,0,True
517,0.0,6586,0,True
518,0.0,6589,0,True
519,0.0,6589,0,True
520,0.0,6591,0,True
521,0.0,6591,0,True
522,0.0,6591,0,True
523,0.0,6594,0,True
524,0.0,6595,0,True
525,0.0,6596,0,True
526,0.0,6597,0,True
527,0.0,6597,0,True
528,0.0,6597,0,True
529,0.0,6599,0,True
530,0.0,6600,0,True
531,0.0,6601,0,True
532,0.0,6602,0,True
533,0.0,6602,0,True
534,0.0,6602,0,True
535,0.0,6602,0,True
536,0.0,6603,0,True
537,0.0,6604,0,True
538,0.0,6604,0,True
539,0.0,6604,0,True
540,0.0,6606,0,True
541,0.0,6607,0,True
542,0.0,6607,0,True
543,0.0,6607,0,True
544,0.0,6608,0,True
545,0.0,6609,0,True
546,0.0,6609,0,True
547,0.0,6610,0,True
548,0.0,6610,0,True
549,0.0,6610,0,True
550,0.0,6611,0,True
551,0.0,6612,0,True
552,0.0,6612,0,True
553,0.0,6613,0,True
554,0.0,6613,0,True
555,0.0,6613,0,True
556,0.0,6613,0,True
557,0.0,6614,0,True
558,0.0,6614,0,True
559,0.0,6614,0,True
560,0.0,6616,0,True
561,0.0,6616,0,True
562,0.0,6616,0,True
563,0.0,6616,0,True
564,0.0,6616,0,True
565,0.0,6617,0,True
566,0.0,6617,0,True
567,0.0,6617,0,True
568,0.0,6617,0,True
569,0.0,6617,0,True
570,0.0,6620,0,True
571,0.0,6620,0,True
572,0.0,6620,0,True
573,0.0,6620,0,True
574,0.0,6621,0,True
575,0.0,6621,0,True
576,0.0,6621,0,True
577,0.0,6622,0,True
578,0.0,6622,0,True
579,0.0,6623,0,True
580,0.0,6623,0,True
581,0.0,6623,0,True
582,0.0,6623,0,True
583,0.0,6623,0,True
584,0.0,6623,0,True
585,0.0,6623,0,True
586,0.0,6624,0,True
587,0.0,6624,0,True
588,0.0,6624,0,True
589,0.0,6624,0,True
590,0.0,6624,0,True
591,0.0,6624,0,True
592,0.0,6624,0,True
593,0.0,6626,0,True
594,0.0,6626,0,True
595,0.0,6626,0,True
596,0.0,6626,0,True
597,0.0,6626,0,True
598,0.0,6626,0,True
599,0.0,6626,0,True
600,0.0,6626,0,True
601,0.0,6626,0,True
602,0.0,6626,0,True
603,0.0,6626,0,True
604,0.0,6627,0,True
605,0.0,6627,0,True
606,0.0,6627,0,True
607,0.0,6627,0,True
608,0.0,6628,0,True
609,0.0,6628,0,True
610,0.0,6629,0,True
611,0.0,6629,0,True
612,0.0,6629,0,True
613,0.0,6629,0,True
614,0.0,6629,0,True
615,0.0,6629,0,True
616,0.0,6629,0,True
617,0.0,6629,0,True
618,0.0,6630,0,True
619,0.0,6630,0,True
620,0.0,6630,0,True
621,0.0,6630,0,True
622,0.0,6630,0,True
623,0.0,6630,0,True
624,0.0,6630,0,True
625,0.0,6631,0,True
626,0.0,6631,0,True
627,0.0,6631,0,True
628,0.0,6631,0,True
629,0.0,6631,0,True
630,0.0,6631,0,True
631,0.0,6631,0,True
632,0.0,6631,0,True
633,0.0,6631,0,True
634,0.0,6631,0,True
635,0.0,6631,0,True
636,0.0,6631,0,True
637,0.0,6632,0,True
638,0.0,6632,0,True
639,0.0,6632,0,True
640,0.0,6632,0,True
641,0.0,6632,0,True
642,0.0,6632,0,True
643,0.0,6632,0,True
644,0.0,6632,0,True
645,0.0,6632,0,True
646,0.0,6632,0,True
647,0.0,6632,0,True
648,0.0,6632,0,True
649,0.0,6632,0,True
650,0.0,6632,0,True
651,0.0,6633,0,True
652,0.0,6633,0,True
653,0.0,6633,0,True
654,0.0,6633,0,True
655,0.0,6633,0,True
656,0.0,6633,0,True
657,0.0,6633,0,True
658,0.0,6633,0,True
659,0.0,6633,0,True
660,0.0,6633,0,True
661,0.0,6633,0,True
662,0.0,6633,0,True
663,0.0,6633,0,True
664,0.0,6633,0,True
665,0.0,6633,0,True
666,0.0,6633,0,True
667,0.0,6633,0,True
668,0.0,6633,0,True
669,0.0,6633,0,True
670,0.0,6633,0,True
671,0.0,6634,0,True
672,0.0,6634,0,True
673,0.0,6634,0,True
674,0.0,6634,0,True
675,0.0,6634,0,True
676,0.0,6634,0,True
677,0.0,6634,0,True
678,0.0,6634,0,True
679,0.0,6634,0,True
680,0.0,6634,0,True
681,0.0,6634,0,True
682,0.0,6634,0,True
683,0.0,6634,0,True
684,0.0,6634,0,True
685,0.0,6634,0,True
686,0.0,6634,0,True
687,0.0,6634,0,True
688,0.0,6634,0,True
689,0.0,6634,0,True
690,0.0,6634,0,True
691,0.0,6634,0,True
692,0.0,6634,0,True
693,0.0,6634,0,True
694,0.0,6634,0,True
695,0.0,6634,0,True
696,0.0,6634,0,True
697,0.0,6634,0,True
698,0.0,6634,0,True
699,0.0,6634,0,True
700,0.0,6634,0,True
701,0.0,6634,0,True
702,0.0,6634,0,True
703,0.0,6634,0,True
704,0.0,6634,0,True
705,0.0,6634,0,True
706,0.0,6634,0,True
707,0.0,6634,0,True
708,0.0,6634,0,True
709,0.0,6634,0,True
710,0.0,6634,0,True
711,0.0,6634,0,True
712,0.0,6634,0,True
713,0.0,6634,0,True
714,0.0,6634,0,True
715,0.0,6635,0,True
716,0.0,6635,0,True
717,0.0,6635,0,True
718,0.0,6635,0,True
719,0.0,6635,0,True
720,0.0,6635,0,True
721,0.0,6635,0,True
722,0.0,6635,0,True
723,0.0,6635,0,True
724,0.0,6635,0,True
725,0.0,6635,0,True
726,0.0,6635,0,True
727,0.0,6635,0,True
