property_id,address,suburb,postcode,latitude,longitude,ground_elevation_m_ahd,building_footprint,building_area_m2,dwelling_structure_census,bedroom_count,vehicle_count,ev_count,affluence_score,construction_type,floor_height_offset_m,switchboard_type,circuit_count,kitchen_spec,flooring,building_age_years,flood_planning_level_m_ahd,peak_water_level_m_ahd,peak_depth_above_floor_m,depth_above_floor_m,wetted_wall_area_m2,severity_factor,switchboard_cost_aud,plasterboard_cost_aud,flooring_cost_aud,kitchen_cabinetry_cost_aud,electrical_cost_aud,appliance_cost_aud,drying_decon_cost_aud,painting_cost_aud,demolition_cost_aud,initial_estimated_cost_aud,insurance_delay_days,job_start_day,job_duration_days,job_end_day,scope_multiplier,stockout_day_relevant,labour_actual_aud,materials_actual_aud,actual_repair_cost_aud
GNAF-GANSW705921140,59 CASINO STREET,SOUTH LISMORE,2480,-28.8083159,153.26672585,11.57699966430664,,135.9,separate_house,4,1,0,0.0,slab_on_ground,0.15,circuit_breaker_rcd,10,basic_laminate,vinyl,48,13.4,14.4,2.673,2.673,111.91,2.0,2155.53,13415.35,7603.46,4248.19,2031.44,4006.2,6860.22,3049.34,5393.51,48763.25,4.57,271,24,295,1.4,True,34088.04,49293.9,83381.94
GNAF-GANSW720334959,OAK TREE RETIREMENT VLGE UNIT 20 17 MACKELLAR PLACE,GOONELLABAH,2480,-28.81308575,153.34120822,147.33099365234375,,40.0,semi_detached,1,2,0,0.9328621908127208,high_stumps,1.5,ceramic_fuse,9,premium_stone_island,polished_concrete,36,13.4,14.4,0.0,0.0,7.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW704636194,58 OAKLEY AVENUE,EAST LISMORE,2480,-28.82213679,153.29301831,17.375,,150.4,separate_house,5,2,0,0.38869257950530034,short_stumps,0.5,circuit_breaker_rcd,10,standard_laminate,timber_floorboards,42,13.4,14.4,0.0,0.0,14.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717785002,UNIT 7 5 SCOTT PLACE,SOUTH LISMORE,2480,-28.80228501,153.25728299,12.326000213623047,,79.6,separate_house,3,1,0,0.0,short_stumps,0.5,ceramic_fuse,8,basic_laminate,vinyl,66,13.4,14.4,1.574,1.574,66.88,1.787,1521.97,7039.11,3373.3,3044.97,1756.61,4600.11,3660.92,2175.87,2740.8,29913.67,4.99,330,14,344,1.4,True,17606.35,21827.96,39434.31
GNAF-GANSW704653116,196 WYRALLAH ROAD,EAST LISMORE,2480,-28.82805925,153.29148859,18.11400032043457,,76.0,separate_house,3,2,0,0.38869257950530034,slab_on_ground,0.15,circuit_breaker_basic,10,basic_laminate,carpet,56,13.4,14.4,0.0,0.0,10.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW718275825,UNIT 50 60 DAWSON STREET,LISMORE,2480,-28.8065118,153.28399804,6.561999797821045,,40.0,other,1,1,0,0.15901060070671377,high_stumps,1.5,circuit_breaker_rcd,13,premium_stone_island,tile,27,13.4,14.4,6.338,6.338,60.72,2.0,2223.48,6527.46,4429.47,6312.61,2523.48,11544.66,1728.6,1700.91,1849.38,38840.05,7.58,50,14,64,1.4,False,16952.89,39667.9,56620.79
GNAF-GANSW718275826,LISMORE TOURIST CVAN PARK SITE 51 60 DAWSON STREET,LISMORE,2480,-28.8065118,153.28399804,6.561999797821045,,54.4,flat_or_apartment,2,3,0,0.15901060070671377,slab_on_ground,0.15,circuit_breaker_rcd,14,standard_laminate,tile,24,13.4,14.4,7.688,7.688,70.81,2.0,2364.5,7787.89,4797.59,3574.59,3107.7,4570.67,1882.36,2209.78,2205.6,32500.7,4.27,77,15,92,1.4,True,29239.02,23873.17,53112.19
GNAF-GANSW718275822,UNIT 48 60 DAWSON STREET,LISMORE,2480,-28.8065118,153.28399804,6.561999797821045,,69.7,separate_house,3,2,0,0.15901060070671377,slab_on_ground,0.15,ceramic_fuse,7,basic_laminate,carpet,128,13.4,14.4,7.688,7.688,80.15,2.0,1317.23,8496.94,4962.83,3923.05,1415.57,5130.11,3405.83,2675.86,3877.92,35205.33,6.75,40,12,52,1.4,False,24698.97,34525.81,59224.78
GNAF-GANSW718275823,UNIT 49 60 DAWSON STREET,LISMORE,2480,-28.8065118,153.28399804,6.561999797821045,,134.3,separate_house,4,3,0,0.15901060070671377,high_stumps,1.5,circuit_breaker_basic,9,standard_laminate,vinyl,73,13.4,14.4,6.338,6.338,111.25,2.0,1537.01,9283.16,6772.84,3867.52,1781.08,3994.82,5084.52,2756.31,4588.46,39665.72,7.19,59,18,77,1.4,True,34045.61,41761.22,75806.83
GNAF-GANSW718275824,UNIT 4 60 DAWSON STREET,LISMORE,2480,-28.8065118,153.28399804,6.561999797821045,,67.8,semi_detached,2,1,0,0.15901060070671377,high_stumps,1.5,circuit_breaker_basic,8,standard_laminate,timber_floorboards,61,13.4,14.4,6.338,6.338,79.05,2.0,1602.6,6698.64,8853.56,3263.61,1391.08,4225.25,2294.84,2754.11,2359.87,33443.56,4.18,111,16,127,1.4,True,25298.73,33721.66,59020.39
GNAF-GANSW716665667,LOT 10 HIGH STREET,LISMORE,2480,-28.80269439,153.29153344,76.0009994506836,,104.0,separate_house,3,0,0,0.15901060070671377,high_stumps,1.5,ceramic_fuse,7,standard_laminate,timber_floorboards,155,13.4,14.4,0.0,0.0,12.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280863,152 BALLINA ROAD,LISMORE,2480,-28.81545095,153.28995258,21.985000610351562,,40.0,flat_or_apartment,1,1,0,0.15901060070671377,slab_on_ground,0.15,ceramic_fuse,9,standard_laminate,tile,38,13.4,14.4,0.0,0.0,7.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280871,172 BALLINA ROAD,LISMORE,2480,-28.81568438,153.29152678,30.308000564575195,,40.0,separate_house,1,2,1,0.15901060070671377,short_stumps,0.5,ceramic_fuse,5,basic_laminate,vinyl,121,13.4,14.4,0.0,0.0,7.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280870,170 BALLINA ROAD,LISMORE,2480,-28.81566221,153.29137047,29.694000244140625,,60.8,separate_house,2,3,0,0.15901060070671377,slab_on_ground,0.15,ceramic_fuse,6,basic_laminate,carpet,149,13.4,14.4,0.0,0.0,9.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280866,160 BALLINA ROAD,LISMORE,2480,-28.81554443,153.29057973,26.343000411987305,,75.7,separate_house,3,2,0,0.15901060070671377,slab_on_ground,0.15,circuit_breaker_basic,10,basic_laminate,carpet,54,13.4,14.4,0.0,0.0,10.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280876,184 BALLINA ROAD,LISMORE,2480,-28.81588126,153.29285843,34.50899887084961,,82.4,separate_house,3,1,0,0.15901060070671377,high_stumps,1.5,circuit_breaker_rcd,8,standard_laminate,timber_floorboards,57,13.4,14.4,0.0,0.0,10.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280888,212 BALLINA ROAD,LISMORE,2480,-28.81624329,153.29516694,44.303001403808594,,83.0,separate_house,3,2,0,0.15901060070671377,short_stumps,0.5,circuit_breaker_basic,7,basic_laminate,vinyl,61,13.4,14.4,0.0,0.0,10.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280861,146 BALLINA ROAD,LISMORE,2480,-28.81532088,153.2889809,12.265000343322754,,64.1,semi_detached,2,2,0,0.15901060070671377,high_stumps,1.5,circuit_breaker_rcd,8,standard_laminate,timber_floorboards,54,13.4,14.4,0.635,0.635,29.94,1.317,1966.28,3839.97,11498.71,2999.24,1495.69,4507.77,2771.68,954.57,2286.57,32320.48,6.09,293,14,307,1.4,True,17600.24,30850.2,48450.44
GNAF-GANSW718275830,UNIT 55 60 DAWSON STREET,LISMORE,2480,-28.8065118,153.28399804,6.561999797821045,,59.0,flat_or_apartment,2,2,0,0.15901060070671377,slab_on_ground,0.15,circuit_breaker_rcd,20,standard_laminate,tile,4,13.4,14.4,7.688,7.688,73.74,2.0,2596.85,6134.75,5401.56,4515.42,4551.16,3653.72,2159.59,2349.23,1837.1,33199.38,4.1,36,17,53,1.36,False,23204.79,27968.41,51173.19
GNAF-GANSW718275827,LISMORE TOURIST CVAN PARK SITE 52 60 DAWSON STREET,LISMORE,2480,-28.8065118,153.28399804,6.561999797821045,,40.0,other,1,3,0,0.15901060070671377,high_stumps,1.5,circuit_breaker_rcd,14,premium_stone_island,tile,19,13.4,14.4,6.338,6.338,60.72,2.0,3187.32,4212.07,3670.36,7239.53,3441.93,10004.91,1981.59,1778.39,1614.79,37130.9,5.38,117,13,130,1.4,True,21645.58,36301.29,57946.87
GNAF-GANSW705228794,19 GAGGIN LANE,LISMORE,2480,-28.80774219,153.28916825,11.28499984741211,,79.2,separate_house,3,0,0,0.15901060070671377,slab_on_ground,0.15,ceramic_fuse,8,basic_laminate,carpet,158,13.4,14.4,2.965,2.965,85.43,2.0,1154.81,9917.17,4546.92,4471.18,1450.83,4719.0,3218.86,2381.47,3625.94,35486.17,4.12,203,16,219,1.4,True,21959.56,25172.93,47132.49
GNAF-GANSW717280915,46 BALLINA ROAD,LISMORE,2480,-28.81560156,153.28843144,10.942000389099121,,81.2,flat_or_apartment,2,1,0,0.15901060070671377,slab_on_ground,0.15,circuit_breaker_rcd,14,standard_laminate,vinyl,29,13.4,14.4,3.308,3.308,86.51,2.0,2511.54,7693.13,3504.02,4145.15,3333.14,3489.38,3960.71,2774.4,3306.44,34717.92,4.21,253,14,267,1.4,True,20916.43,21552.38,42468.8
GNAF-GANSW717280852,120 BALLINA ROAD,LISMORE,2480,-28.81496947,153.28721708,9.576000213623047,,55.7,separate_house,2,1,0,0.15901060070671377,short_stumps,0.5,ceramic_fuse,5,basic_laminate,vinyl,102,13.4,14.4,4.324,4.324,71.65,2.0,1663.15,6586.66,2953.92,3437.15,1000.82,4373.32,2837.63,2168.99,2351.13,27372.76,6.89,99,14,113,1.4,True,15993.22,22698.4,38691.61
GNAF-GANSW717292829,58 BALLINA ROAD,LISMORE,2480,-28.8140397,153.2826537,10.343999862670898,"[[153.2827726, -28.813847000000003], [153.2827403, -28.8139949], [153.2828341, -28.814010700000004], [153.2828665, -28.81386279999999], [153.2827726, -28.813847000000003]]",51.9,semi_detached,2,2,0,0.15901060070671377,high_stumps,1.5,ceramic_fuse,5,standard_laminate,timber_floorboards,79,13.4,14.4,2.556,2.556,69.16,2.0,1315.76,8230.12,6228.96,3019.55,852.54,5238.85,1793.28,2505.0,2114.02,31298.07,6.24,316,14,330,1.4,True,17934.52,34077.07,52011.59
GNAF-GANSW717280920,64 BALLINA ROAD,LISMORE,2480,-28.81560156,153.28843144,10.942000389099121,,66.3,semi_detached,2,0,0,0.15901060070671377,high_stumps,1.5,ceramic_fuse,6,standard_laminate,timber_floorboards,76,13.4,14.4,1.958,1.958,73.54,1.979,1305.62,7929.63,12286.39,3528.02,1405.11,3510.62,3256.3,2646.39,2970.6,38838.68,5.63,296,15,311,1.4,True,19645.09,23463.56,43108.65
GNAF-GANSW717229098,26 ZADOC STREET,LISMORE,2480,-28.80586202,153.28105342,9.937000274658203,,82.2,separate_house,3,1,0,0.15901060070671377,slab_on_ground,0.15,ceramic_fuse,8,basic_laminate,carpet,132,13.4,14.4,4.313,4.313,87.04,2.0,1500.98,10291.68,6353.47,3489.32,1542.83,5005.68,3751.36,2894.92,4099.05,38929.28,3.96,124,17,141,1.4,True,30258.57,27899.92,58158.48
GNAF-GANSW718275833,UNIT 62 60 DAWSON STREET,LISMORE,2480,-28.8065118,153.28399804,6.561999797821045,,97.7,separate_house,3,1,0,0.15901060070671377,short_stumps,0.5,ceramic_fuse,7,basic_laminate,carpet,88,13.4,14.4,7.338,7.338,94.89,2.0,1274.66,7943.56,5370.33,3769.04,1561.77,4668.97,4939.27,3052.91,4523.52,37104.03,4.3,64,19,83,1.4,True,27512.54,32841.25,60353.79
GNAF-GANSW717095753,19 CENTENARY DRIVE,GOONELLABAH,2480,-28.8204037,153.34642664,167.89300537109375,,64.2,semi_detached,2,1,0,0.9328621908127208,high_stumps,1.5,circuit_breaker_rcd,14,premium_stone_island,laminate,25,13.4,14.4,0.0,0.0,9.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW716704142,12 LUCIA CRESCENT,HOWARDS GRASS,2480,-28.79721417,153.30075666,45.64099884033203,,100.4,separate_house,3,1,0,1.0,short_stumps,0.5,circuit_breaker_rcd,15,premium_stone_island,laminate,20,13.4,14.4,0.0,0.0,12.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW716704141,UNIT 2 3 LUCIA CRESCENT,HOWARDS GRASS,2480,-28.79787362,153.30013849,66.42900085449219,,52.3,separate_house,2,1,0,1.0,short_stumps,0.5,ceramic_fuse,5,stone_benchtop,timber_floorboards,122,13.4,14.4,0.0,0.0,8.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW718135788,UNIT 4 24 PENDARA CRESCENT,LISMORE HEIGHTS,2480,-28.79794836,153.2948709,42.632999420166016,,93.7,semi_detached,3,1,0,0.5830388692579506,high_stumps,1.5,circuit_breaker_rcd,16,stone_benchtop,laminate,22,13.4,14.4,0.0,0.0,11.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280710,590 BALLINA ROAD,GOONELLABAH,2480,-28.81682372,153.32095503,165.60899353027344,,103.7,separate_house,3,2,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_basic,10,standard_laminate,carpet,57,13.4,14.4,0.0,0.0,12.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280624,487 BALLINA ROAD,GOONELLABAH,2480,-28.81336367,153.31131353,152.00799560546875,,79.5,semi_detached,3,0,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_rcd,22,premium_stone_island,polished_concrete,4,13.4,14.4,0.0,0.0,10.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280646,511 BALLINA ROAD,GOONELLABAH,2480,-28.81434788,153.31309066,161.73399353027344,,167.6,flat_or_apartment,4,0,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,27,stone_benchtop,laminate,0,13.4,14.4,0.0,0.0,15.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280601,463 BALLINA ROAD,GOONELLABAH,2480,-28.81300075,153.30884584,134.0489959716797,,40.0,flat_or_apartment,1,1,0,0.9328621908127208,slab_on_ground,0.15,ceramic_fuse,9,stone_benchtop,laminate,39,13.4,14.4,0.0,0.0,7.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280721,611 BALLINA ROAD,GOONELLABAH,2480,-28.81798053,153.32384068,158.11599731445312,,163.0,separate_house,5,1,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,17,standard_laminate,timber_floorboards,50,13.4,14.4,0.0,0.0,15.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280695,576 BALLINA ROAD,GOONELLABAH,2480,-28.81626239,153.31976385,175.8000030517578,,64.5,semi_detached,2,2,0,0.9328621908127208,high_stumps,1.5,circuit_breaker_rcd,14,premium_stone_island,laminate,21,13.4,14.4,0.0,0.0,9.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280799,698 BALLINA ROAD,GOONELLABAH,2480,-28.81804833,153.33330087,162.82200622558594,,108.0,separate_house,3,2,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_rcd,14,premium_stone_island,laminate,22,13.4,14.4,0.0,0.0,12.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280756,650 BALLINA ROAD,GOONELLABAH,2480,-28.81805789,153.32830189,158.00100708007812,,40.0,semi_detached,1,1,0,0.9328621908127208,high_stumps,1.5,ceramic_fuse,9,premium_stone_island,laminate,38,13.4,14.4,0.0,0.0,7.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280762,658 BALLINA ROAD,GOONELLABAH,2480,-28.81725724,153.32901792,135.3159942626953,,68.8,semi_detached,2,2,0,0.9328621908127208,high_stumps,1.5,circuit_breaker_rcd,14,premium_stone_island,laminate,23,13.4,14.4,0.0,0.0,9.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280645,510 BALLINA ROAD,GOONELLABAH,2480,-28.81367073,153.31323369,151.91799926757812,,119.5,separate_house,3,1,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_rcd,14,stone_benchtop,tile,29,13.4,14.4,0.0,0.0,13.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280702,583 BALLINA ROAD,GOONELLABAH,2480,-28.81726578,153.3202517,173.65899658203125,,73.9,separate_house,3,3,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_rcd,12,stone_benchtop,tile,29,13.4,14.4,0.0,0.0,10.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280659,528 BALLINA ROAD,GOONELLABAH,2480,-28.81430626,153.31483788,160.73800659179688,,105.6,separate_house,3,2,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_basic,11,stone_benchtop,tile,36,13.4,14.4,0.0,0.0,12.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280617,481 BALLINA ROAD,GOONELLABAH,2480,-28.81327311,153.31077353,146.54100036621094,,70.4,separate_house,3,2,0,0.9328621908127208,slab_on_ground,0.15,ceramic_fuse,7,basic_laminate,carpet,107,13.4,14.4,0.0,0.0,10.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717292797,659 BALLINA ROAD,GOONELLABAH,2480,-28.81888723,153.32879337,153.43099975585938,"[[153.3287974, -28.818720800000005], [153.3287585, -28.8189208], [153.3287759, -28.818923400000003], [153.3287702, -28.818952600000003], [153.3288671, -28.818966999999986], [153.328873, -28.818936999999995], [153.3288914, -28.818939800000006], [153.3289301, -28.818740600000005], [153.3287974, -28.818720800000005]]",163.3,separate_house,4,3,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_rcd,17,stone_benchtop,tile,13,13.4,14.4,0.0,0.0,15.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717097561,159 DIBBS STREET,EAST LISMORE,2480,-28.82140572,153.29058177,29.93400001525879,,61.2,semi_detached,2,1,0,0.38869257950530034,high_stumps,1.5,circuit_breaker_rcd,14,stone_benchtop,laminate,27,13.4,14.4,0.0,0.0,9.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280741,633 BALLINA ROAD,GOONELLABAH,2480,-28.81829755,153.32601171,162.98800659179688,,71.0,semi_detached,2,1,0,0.9328621908127208,high_stumps,1.5,circuit_breaker_rcd,14,premium_stone_island,polished_concrete,29,13.4,14.4,0.0,0.0,10.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280720,609 BALLINA ROAD,GOONELLABAH,2480,-28.81795287,153.32365573,158.79299926757812,,139.1,separate_house,4,1,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_basic,12,standard_laminate,timber_floorboards,73,13.4,14.4,0.0,0.0,14.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280610,473 BALLINA ROAD,GOONELLABAH,2480,-28.81312518,153.30980877,140.62600708007812,,63.0,separate_house,2,1,0,0.9328621908127208,slab_on_ground,0.15,ceramic_fuse,6,basic_laminate,carpet,131,13.4,14.4,0.0,0.0,9.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280796,695 BALLINA ROAD,GOONELLABAH,2480,-28.81896609,153.33229452,165.4219970703125,,69.8,flat_or_apartment,2,3,0,0.9328621908127208,slab_on_ground,0.15,circuit_breaker_basic,14,stone_benchtop,laminate,30,13.4,14.4,0.0,0.0,10.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
GNAF-GANSW717280686,566 BALLINA ROAD,GOONELLABAH,2480,-28.8157742,153.31890295,181.30099487304688,,70.6,separate_house,3,2,0,0.9328621908127208,short_stumps,0.5,circuit_breaker_basic,10,stone_benchtop,tile,34,13.4,14.4,0.0,0.0,10.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
