day,daily_static_spend_aud,cumulative_static_spend_aud
324,721014.36,247271219.34
325,553345.12,247824564.46
326,893047.16,248717611.62
327,450666.93,249168278.55
328,772800.88,249941079.43
329,558443.54,250499522.97
330,821290.58,251320813.55
331,404675.65,251725489.2
332,1493701.53,253219190.73
333,260380.6,253479571.33
334,617514.21,254097085.54
335,597911.45,254694996.99
336,448053.85,255143050.84
337,450766.0,255593816.84
338,2570474.72,258164291.56
339,554192.34,258718483.9
340,297659.86,259016143.76
341,1279510.79,260295654.55
342,489786.53,260785441.08
343,405391.39,261190832.47
344,852582.45,262043414.92
345,269285.48,262312700.4
346,1427234.71,263739935.11
347,297219.81,264037154.92
348,416061.43,264453216.35
349,395590.67,264848807.02
350,782602.58,265631409.6
351,612864.09,266244273.69
352,827369.4,267071643.09
353,448436.24,267520079.33
354,678546.3,268198625.63
355,423677.93,268622303.56
356,315747.49,268938051.05
357,413996.99,269352048.04
358,411376.53,269763424.57
359,364624.34,270128048.91
360,358176.41,270486225.32
361,414291.69,270900517.01
362,269286.36,271169803.37
363,278228.87,271448032.24
364,377653.85,271825686.09
365,380163.05,272205849.14
366,312594.9,272518444.04
367,223975.37,272742419.41
368,453859.39,273196278.8
369,317884.88,273514163.68
370,367338.23,273881501.91
371,1747686.8,275629188.71
372,475668.45,276104857.16
373,653636.28,276758493.44
374,154403.47,276912896.91
375,188539.76,277101436.67
376,262095.11,277363531.78
377,337718.3,277701250.08
378,259027.07,277960277.15
379,271961.81,278232238.96
380,239904.84,278472143.8
381,336211.93,278808355.73
382,303602.24,279111957.97
383,402027.61,279513985.58
384,457564.8,279971550.38
385,154718.84,280126269.22
386,347602.96,280473872.18
387,189238.16,280663110.34
388,209704.51,280872814.85
389,222068.45,281094883.3
390,292425.89,281387309.19
391,431064.38,281818373.57
392,213547.12,282031920.69
393,348656.71,282380577.4
394,1668742.12,284049319.52
395,214287.2,284263606.72
396,352849.95,284616456.67
397,380914.77,284997371.44
398,90358.38,285087729.82
399,302776.42,285390506.24
400,249306.49,285639812.73
401,903718.11,286543530.84
402,250448.09,286793978.93
403,314223.26,287108202.19
404,332022.91,287440225.1
405,384449.82,287824674.92
406,186622.73,288011297.65
407,201852.73,288213150.38
408,144715.86,288357866.24
409,303838.59,288661704.83
410,194176.2,288855881.03
411,103131.5,288959012.53
412,202860.65,289161873.18
413,238516.68,289400389.86
414,151238.47,289551628.33
415,153511.11,289705139.44
416,65755.18,289770894.62
417,50425.64,289821320.26
418,192404.63,290013724.89
419,240932.49,290254657.38
420,211145.13,290465802.51
421,232859.44,290698661.95
422,277272.32,290975934.27
423,213590.66,291189524.93
424,512490.58,291702015.51
425,235476.29,291937491.8
426,1549001.48,293486493.28
427,237033.5,293723526.78
428,259382.15,293982908.93
429,115628.71,294098537.64
430,295228.34,294393765.98
431,60832.6,294454598.58
432,127976.94,294582575.52
433,209246.9,294791822.42
434,88135.45,294879957.87
435,104899.79,294984857.66
436,188471.34,295173329.0
437,273003.65,295446332.65
438,760977.51,296207310.16
439,664947.97,296872258.13
440,120628.15,296992886.28
441,214191.48,297207077.76
442,108103.55,297315181.31
443,43347.12,297358528.43
444,204635.67,297563164.1
445,185064.78,297748228.88
446,76732.07,297824960.95
447,121771.92,297946732.87
448,12083.45,297958816.32
449,43258.7,298002075.02
450,117538.49,298119613.51
451,105810.25,298225423.76
452,99926.97,298325350.73
453,348605.61,298673956.34
454,48830.36,298722786.7
455,271786.02,298994572.72
456,153183.91,299147756.63
457,190607.0,299338363.63
458,97086.51,299435450.14
459,108778.82,299544228.96
460,213618.22,299757847.18
461,8804.03,299766651.21
462,32110.56,299798761.77
463,104789.4,299903551.17
464,239776.49,300143327.66
465,30739.24,300174066.9
466,48662.9,300222729.8
467,6321.57,300229051.37
468,155256.47,300384307.84
469,102136.48,300486444.32
470,82573.24,300569017.56
471,61525.12,300630542.68
472,116161.98,300746704.66
473,109089.17,300855793.83
474,94359.25,300950153.08
475,62813.51,301012966.59
476,115833.92,301128800.51
477,73524.19,301202324.7
478,71872.89,301274197.59
479,33013.52,301307211.11
480,99430.07,301406641.18
481,3739.77,301410380.95
482,107374.87,301517755.82
483,146737.37,301664493.19
484,101378.83,301765872.02
485,171774.98,301937647.0
486,0.0,301937647.0
487,84284.08,302021931.08
488,103462.04,302125393.12
489,131146.83,302256539.95
490,145359.92,302401899.87
491,27497.71,302429397.58
492,68225.17,302497622.75
493,29468.43,302527091.18
494,117926.57,302645017.75
495,29105.34,302674123.09
496,117755.68,302791878.77
497,19122.42,302811001.19
498,98734.54,302909735.73
499,93886.88,303003622.61
500,106692.13,303110314.74
501,69064.24,303179378.98
502,34921.38,303214300.36
503,29058.08,303243358.44
504,47687.06,303291045.5
505,140451.23,303431496.73
506,94131.07,303525627.8
507,105531.83,303631159.63
508,8488.26,303639647.89
509,0.0,303639647.89
510,0.0,303639647.89
511,51449.8,303691097.69
512,0.0,303691097.69
513,43757.66,303734855.35
514,99739.21,303834594.56
515,11368.81,303845963.37
516,90019.11,303935982.48
517,34587.38,303970569.86
518,21340.75,303991910.61
519,86618.3,304078528.91
520,44180.02,304122708.93
521,0.0,304122708.93
522,25956.5,304148665.43
523,87659.12,304236324.55
524,26585.61,304262910.16
525,8272.4,304271182.56
526,133722.31,304404904.87
527,30588.91,304435493.78
528,0.0,304435493.78
529,36490.85,304471984.63
530,10879.45,304482864.08
531,41847.88,304524711.96
532,124732.8,304649444.76
533,31381.09,304680825.85
534,45475.24,304726301.09
535,55424.63,304781725.72
536,109627.15,304891352.87
537,27306.12,304918658.99
538,25399.4,304944058.39
539,0.0,304944058.39
540,75436.91,305019495.3
541,77087.98,305096583.28
542,0.0,305096583.28
543,0.0,305096583.28
544,6655.34,305103238.62
545,5104.45,305108343.07
546,0.0,305108343.07
547,46031.23,305154374.3
548,45535.21,305199909.51
549,0.0,305199909.51
550,37367.2,305237276.71
551,38139.5,305275416.21
552,43517.8,305318934.01
553,10961.19,305329895.2
554,0.0,305329895.2
555,88933.54,305418828.74
556,20417.82,305439246.56
557,5186.46,305444433.02
558,0.0,305444433.02
559,0.0,305444433.02
560,8862.91,305453295.93
561,115401.84,305568697.77
562,0.0,305568697.77
563,0.0,305568697.77
564,105010.19,305673707.96
565,55182.61,305728890.57
566,0.0,305728890.57
567,0.0,305728890.57
568,0.0,305728890.57
569,9849.22,305738739.79
570,48354.07,305787093.86
571,43844.77,305830938.63
572,0.0,305830938.63
573,0.0,305830938.63
574,9654.24,305840592.87
575,0.0,305840592.87
576,25602.42,305866195.29
577,7726.66,305873921.95
578,0.0,305873921.95
579,31887.3,305905809.25
580,0.0,305905809.25
581,0.0,305905809.25
582,0.0,305905809.25
583,0.0,305905809.25
584,0.0,305905809.25
585,0.0,305905809.25
586,932649.05,306838458.3
587,0.0,306838458.3
588,0.0,306838458.3
589,30906.66,306869364.96
590,39906.14,306909271.1
591,38616.97,306947888.07
592,0.0,306947888.07
593,16028.2,306963916.27
594,0.0,306963916.27
595,0.0,306963916.27
596,32299.62,306996215.89
597,0.0,306996215.89
598,0.0,306996215.89
599,0.0,306996215.89
600,0.0,306996215.89
601,0.0,306996215.89
602,0.0,306996215.89
603,0.0,306996215.89
604,5697.31,307001913.2
605,0.0,307001913.2
606,0.0,307001913.2
607,0.0,307001913.2
608,52681.63,307054594.83
609,64112.79,307118707.62
610,6517.21,307125224.83
611,0.0,307125224.83
612,0.0,307125224.83
613,0.0,307125224.83
614,0.0,307125224.83
615,0.0,307125224.83
616,0.0,307125224.83
617,0.0,307125224.83
618,9551.8,307134776.63
619,22789.22,307157565.85
620,17474.3,307175040.15
621,0.0,307175040.15
622,26068.82,307201108.97
623,0.0,307201108.97
624,0.0,307201108.97
625,5447.34,307206556.31
626,0.0,307206556.31
627,0.0,307206556.31
628,0.0,307206556.31
629,0.0,307206556.31
630,0.0,307206556.31
631,0.0,307206556.31
632,0.0,307206556.31
633,0.0,307206556.31
634,0.0,307206556.31
635,0.0,307206556.31
636,0.0,307206556.31
637,6109.85,307212666.16
638,38207.18,307250873.34
639,21789.36,307272662.7
640,0.0,307272662.7
641,0.0,307272662.7
642,0.0,307272662.7
643,0.0,307272662.7
644,0.0,307272662.7
645,0.0,307272662.7
646,0.0,307272662.7
647,0.0,307272662.7
648,24439.38,307297102.08
649,0.0,307297102.08
650,0.0,307297102.08
651,16693.2,307313795.28
652,0.0,307313795.28
653,0.0,307313795.28
654,0.0,307313795.28
655,0.0,307313795.28
656,0.0,307313795.28
657,0.0,307313795.28
658,0.0,307313795.28
659,0.0,307313795.28
660,0.0,307313795.28
661,0.0,307313795.28
662,0.0,307313795.28
663,0.0,307313795.28
664,0.0,307313795.28
665,0.0,307313795.28
666,0.0,307313795.28
667,0.0,307313795.28
668,0.0,307313795.28
669,0.0,307313795.28
670,0.0,307313795.28
671,15872.68,307329667.96
672,0.0,307329667.96
673,66772.81,307396440.77
674,0.0,307396440.77
675,0.0,307396440.77
676,0.0,307396440.77
677,0.0,307396440.77
678,0.0,307396440.77
679,0.0,307396440.77
680,0.0,307396440.77
681,0.0,307396440.77
682,0.0,307396440.77
683,0.0,307396440.77
684,0.0,307396440.77
685,0.0,307396440.77
686,0.0,307396440.77
687,0.0,307396440.77
688,0.0,307396440.77
689,0.0,307396440.77
690,0.0,307396440.77
691,0.0,307396440.77
692,0.0,307396440.77
693,0.0,307396440.77
694,63490.72,307459931.49
695,0.0,307459931.49
696,0.0,307459931.49
697,0.0,307459931.49
698,0.0,307459931.49
699,0.0,307459931.49
700,0.0,307459931.49
701,0.0,307459931.49
702,0.0,307459931.49
703,0.0,307459931.49
704,0.0,307459931.49
705,0.0,307459931.49
706,0.0,307459931.49
707,0.0,307459931.49
708,0.0,307459931.49
709,0.0,307459931.49
710,0.0,307459931.49
711,0.0,307459931.49
712,0.0,307459931.49
713,0.0,307459931.49
714,0.0,307459931.49
715,6334.95,307466266.44
716,1763659.48,309229925.92
717,0.0,309229925.92
718,0.0,309229925.92
719,0.0,309229925.92
720,0.0,309229925.92
721,0.0,309229925.92
722,0.0,309229925.92
723,0.0,309229925.92
724,0.0,309229925.92
725,0.0,309229925.92
726,0.0,309229925.92
727,25339.79,309255265.71
